Date,Jilin Cheng Cheng Group Co Ltd
20140301,255.52659580246925
20140302,255.52659580246925
20140303,252.01589188654114
20140304,253.6111301800741
20140305,260.47153458614605
20140306,261.78294974241254
20140307,262.5452073785028
20140308,262.5452073785028
20140309,262.5452073785028
20140310,272.15265671986106
20140311,272.3830079719934
20140312,279.13362130429147
20140313,276.6003950062871
20140314,272.9161215862561
20140315,272.9161215862561
20140316,272.9161215862561
20140317,271.4906481231528
20140318,264.2275943606484
20140319,268.57476053479263
20140320,267.6346459792306
20140321,262.3999421698711
20140322,262.3999421698711
20140323,262.3999421698711
20140324,258.78758906427197
20140325,259.6543412964485
20140326,260.53494584611155
20140327,261.4907726903482
20140328,269.5742777682992
20140329,269.5742777682992
20140330,269.5742777682992
20140331,261.9436949851196
20140401,258.0062408765456
20140402,255.7379708516036
20140403,260.5779808536473
20140404,254.02888812680342
20140405,254.02888812680342
20140406,254.02888812680342
20140407,254.02888812680342
20140408,244.08638865293764
20140409,243.88487049115955
20140410,259.1707585394155
20140411,273.64571652459944
20140412,273.64571652459944
20140413,273.64571652459944
20140414,265.1225042097768
20140415,264.2163512030139
20140416,269.6761642707755
20140417,272.05193506080434
20140418,272.0777675799428
20140419,272.0777675799428
20140420,272.0777675799428
20140421,275.59426885809216
20140422,275.88876720003384
20140423,278.56695442287685
20140424,280.6671422260436
20140425,280.5610196602746
20140426,280.5610196602746
20140427,280.5610196602746
20140428,280.1117600286555
20140429,280.7180748408527
20140430,280.94056059951606
20140501,280.6524347920852
20140502,280.6524347920852
20140503,280.6524347920852
20140504,280.6524347920852
20140505,279.7425096929181
20140506,278.9129497103019
20140507,278.1537623699467
20140508,277.9976504957364
20140509,278.26252519665576
20140510,278.26252519665576
20140511,278.26252519665576
20140512,279.2887829317565
20140513,279.3292759070038
20140514,280.0206165658601
20140515,278.9721887001299
20140516,278.1813726383605
20140517,278.1813726383605
20140518,278.1813726383605
20140519,276.5684475261032
20140520,276.1130292398459
20140521,276.51825533153993
20140522,276.47206545179984
20140523,277.70383187631353
20140524,277.70383187631353
20140525,277.70383187631353
20140526,277.58442007280075
20140527,277.1698293892676
20140528,276.8569462337945
20140529,276.45866712946025
20140530,276.5910074521365
20140531,276.5910074521365
20140601,276.3167245224041
20140602,276.3167245224041
20140603,276.8132113029222
20140604,277.1569913719301
20140605,277.739261428246
20140606,278.2485324899076
20140607,278.2485324899076
20140608,278.2485324899076
20140609,279.2750623432384
20140610,280.05156027750286
20140611,280.14671188691557
20140612,280.0464454505149
20140613,282.75228666147194
20140614,282.75228666147194
20140615,282.75228666147194
20140616,282.8324864863792
20140617,282.32024327205045
20140618,281.8078595229196
20140619,281.1992054004947
20140620,283.40334179753205
20140621,283.40334179753205
20140622,283.40334179753205
20140623,283.7179552751853
20140624,288.40141207146553
20140625,288.21292975592587
20140626,289.0853144291039
20140627,371.64731815381026
20140628,371.64731815381026
20140629,371.64731815381026
20140630,370.91928249653245
20140701,369.92484188008495
20140702,369.87339827447147
20140703,370.7901465853512
20140704,369.9373926317627
20140705,369.9373926317627
20140706,369.9373926317627
20140707,370.1511502364719
20140708,371.7776294754155
20140709,370.17960757137246
20140710,368.09236369697317
20140711,365.4543309026179
20140712,365.4543309026179
20140713,365.4543309026179
20140714,368.26840453006525
20140715,367.627377785113
20140716,367.2454239793243
20140717,367.74706193753053
20140718,369.10485522540046
20140719,369.10485522540046
20140720,369.10485522540046
20140721,370.7148402355004
20140722,371.3197260578859
20140723,369.51292002073865
20140724,371.53683366566776
20140725,373.3810890043887
20140726,373.3810890043887
20140727,373.3810890043887
20140728,376.7383526823745
20140729,379.1915447047422
20140730,378.4290809098134
20140731,379.4405352464639
20140801,376.35446006386826
20140802,376.35446006386826
20140803,376.35446006386826
20140804,378.4484297069693
20140805,377.2770211169802
20140806,376.7637471428324
20140807,376.17527906662235
20140808,376.78750793177886
20140809,376.78750793177886
20140810,376.78750793177886
20140811,378.163842579327
20140812,375.61704252096206
20140813,375.5995826583926
20140814,372.8958867414372
20140815,374.9975741952669
20140816,374.9975741952669
20140817,374.9975741952669
20140818,376.54756581064504
20140819,376.06878195970796
20140820,375.26679115182975
20140821,374.83736816988016
20140822,439.7218688130909
20140823,439.7218688130909
20140824,439.7218688130909
20140825,419.71549026706174
20140826,396.17729589041676
20140827,407.2446763935213
20140828,394.06967481113566
20140829,384.0663433443176
20140830,384.0663433443176
20140831,384.0663433443176
20140901,386.60479464822953
20140902,372.5830623127676
20140903,355.2649508105059
20140904,339.4165614381887
20140905,324.60000843898604
20140906,324.60000843898604
20140907,324.60000843898604
20140908,324.60000843898604
20140909,307.0945825001927
20140910,291.3325196077101
20140911,277.10795762050765
20140912,277.4100185824372
20140913,277.4100185824372
20140914,277.4100185824372
20140915,278.5710101215146
20140916,277.40263968083065
20140917,279.5849040912943
20140918,279.55194458519816
20140919,290.576070071329
20140920,290.576070071329
20140921,290.576070071329
20140922,275.9577730010949
20140923,268.68981547630534
20140924,256.51512952289266
20140925,244.06222149796247
20140926,233.18731942263386
20140927,233.18731942263386
20140928,233.18731942263386
20140929,221.96698427906423
20140930,234.54044326720748
20141001,234.341123959048
20141002,234.341123959048
20141003,234.341123959048
20141004,234.341123959048
20141005,234.341123959048
20141006,234.341123959048
20141007,234.341123959048
20141008,251.30518962070582
20141009,263.41314791265546
20141010,279.4667183325135
20141011,279.4667183325135
20141012,279.4667183325135
20141013,295.37975593835534
20141014,280.6824216062349
20141015,267.894732964056
20141016,285.1823175986137
20141017,296.0393093588192
20141018,296.0393093588192
20141019,296.0393093588192
20141020,291.34955320886667
20141021,298.9804226562316
20141022,299.4067188115792
20141023,317.1823657979336
20141024,318.8150610147638
20141025,318.8150610147638
20141026,318.8150610147638
20141027,305.70997868058845
20141028,304.5234908732854
20141029,299.34893588302685
20141030,269.03042446928055
20141031,266.92459546462646
20141101,266.7092390332585
20141102,266.7092390332585
20141103,274.0190278233739
20141104,280.2188571276168
20141105,277.5576801865154
20141106,279.42215806020863
20141107,286.4986003863408
20141108,286.4986003863408
20141109,286.4986003863408
20141110,295.39251718848874
20141111,310.10731866301273
20141112,306.06870060741477
20141113,314.21291705244
20141114,298.45834359698983
20141115,298.45834359698983
20141116,298.45834359698983
20141117,289.1023402971043
20141118,285.0544993843484
20141119,285.42990621960666
20141120,286.7189556365215
20141121,282.43613392435265
20141122,282.43613392435265
20141123,282.43613392435265
20141124,303.2140842218313
20141125,305.1887009164475
20141126,299.35331202263194
20141127,296.51136690479876
20141128,280.48927464658175
20141129,280.48927464658175
20141130,280.48927464658175
20141201,266.66569741773304
20141202,270.21599103245643
20141203,274.1413193154672
20141204,279.5586354104067
20141205,297.7322554375975
20141206,297.7322554375975
20141207,297.7322554375975
20141208,305.6867675906897
20141209,315.96188429035647
20141210,326.5297615403073
20141211,322.55329836643114
20141212,335.2736867219273
20141213,335.2736867219273
20141214,335.2736867219273
20141215,344.1326452414715
20141216,369.40779795929143
20141217,394.0536687149518
20141218,394.01937593328387
20141219,400.996026750687
20141220,400.996026750687
20141221,400.996026750687
20141222,428.9026556348231
20141223,403.38211323837953
20141224,381.3728995446108
20141225,384.76503812499965
20141226,395.92829709722264
20141227,395.92829709722264
20141228,395.92829709722264
20141229,418.3383645115425
20141230,432.41646467020007
20141231,446.50937416867856
20150101,446.1783161342209
20150102,446.1783161342209
20150103,446.1783161342209
20150104,446.1783161342209
20150105,461.1617154985179
20150106,461.8492567559741
20150107,441.849633001108
20150108,438.24304498167675
20150109,444.0388674863898
20150110,444.0388674863898
20150111,444.0388674863898
20150112,427.0865315878274
20150113,440.35989630798264
20150114,437.19470269625907
20150115,445.2434174583479
20150116,448.542592000993
20150117,448.542592000993
20150118,448.542592000993
20150119,455.2967676711115
20150120,449.9356243564701
20150121,436.14668265594474
20150122,433.3090516780309
20150123,432.5266170280347
20150124,432.5266170280347
20150125,432.5266170280347
20150126,424.5979508844426
20150127,428.08453782241014
20150128,410.59300664307466
20150129,406.71080457735167
20150130,430.53238032763915
20150131,430.53238032763915
20150201,430.2248687950932
20150202,428.8293647641011
20150203,421.5050506379991
20150204,422.9895544828991
20150205,425.49194495083225
20150206,435.3488169406056
20150207,435.3488169406056
20150208,435.3488169406056
20150209,440.80000765974984
20150210,438.73480651828527
20150211,437.78526624428616
20150212,437.6280748687245
20150213,435.52265318521376
20150214,435.52265318521376
20150215,435.52265318521376
20150216,415.7300235657257
20150217,406.1860657040777
20150218,406.1860657040777
20150219,406.1860657040777
20150220,406.1860657040777
20150221,406.1860657040777
20150222,406.1860657040777
20150223,406.1860657040777
20150224,406.1860657040777
20150225,415.9106658183962
20150226,415.6185335770158
20150227,408.84029847973
20150228,408.84029847973
20150301,408.558760190763
20150302,408.45989899947034
20150303,412.81787245466927
20150304,425.1692047109527
20150305,405.8221339695834
20150306,399.3822993981683
20150307,399.3822993981683
20150308,399.3822993981683
20150309,389.4578712699598
20150310,399.2751013895471
20150311,387.47855058202686
20150312,372.662813554735
20150313,376.2767465092984
20150314,376.2767465092984
20150315,376.2767465092984
20150316,370.37155097548373
20150317,353.8841688309686
20150318,346.3915061022955
20150319,356.54235208868846
20150320,357.30649106340564
20150321,357.30649106340564
20150322,357.30649106340564
20150323,356.8067493541601
20150324,363.0823625346639
20150325,347.39895362843873
20150326,353.2974223227957
20150327,358.2059464244763
20150328,358.2059464244763
20150329,358.2059464244763
20150330,385.88667101625543
20150331,415.3459787462137
20150401,417.4552998429707
20150402,398.72254741369164
20150403,384.4066964299478
20150404,384.4066964299478
20150405,384.4066964299478
20150406,384.4066964299478
20150407,370.40380248368956
20150408,351.5647058589386
20150409,332.9996748619872
20150410,318.4434041922785
20150411,318.4434041922785
20150412,318.4434041922785
20150413,307.4599460117119
20150414,293.5609067713872
20150415,279.5003926841278
20150416,283.38386395451636
20150417,274.0786395327131
20150418,274.0786395327131
20150419,274.0786395327131
20150420,258.20939761732365
20150421,270.6905338571497
20150422,260.7997308483602
20150423,249.07957317774446
20150424,236.83407380202544
20150425,236.83407380202544
20150426,236.83407380202544
20150427,230.2298134722407
20150428,219.3642268373773
20150429,248.77222508093436
20150430,313.5602415930741
20150501,313.35767079162946
20150502,313.35767079162946
20150503,313.35767079162946
20150504,332.90301571775717
20150505,343.4122224803965
20150506,334.20268474741056
20150507,348.7723880636847
20150508,356.752935512861
20150509,356.752935512861
20150510,356.752935512861
20150511,360.7956233650169
20150512,358.98807537042813
20150513,342.59534781913675
20150514,328.0549167797925
20150515,312.6663168419081
20150516,312.6663168419081
20150517,312.6663168419081
20150518,298.23447518990605
20150519,292.49057655289226
20150520,280.5444761576792
20150521,270.3611784139437
