Date,Beh-Property Co Ltd
20111214,160.26904188652074
20111215,160.30580675288334
20111216,153.8440789155929
20111217,153.8440789155929
20111218,153.8440789155929
20111219,159.18773377715763
20111220,158.1772937841548
20111221,159.8044861760092
20111222,161.60534826651744
20111223,161.1464454763662
20111224,161.1464454763662
20111225,161.1464454763662
20111226,161.5210792044776
20111227,161.20738507866773
20111228,161.861005233144
20111229,161.532514674812
20111230,156.81091676511815
20111231,156.81091676511815
20120101,156.42443267348176
20120102,156.42443267348176
20120103,156.42443267348176
20120104,159.1324718140559
20120105,164.7619701955082
20120106,165.58828546958605
20120107,165.58828546958605
20120108,165.58828546958605
20120109,161.21867018974817
20120110,159.94917586034146
20120111,158.93129885988486
20120112,158.912409882686
20120113,161.84801066462836
20120114,161.84801066462836
20120115,161.84801066462836
20120116,162.74203453541793
20120117,161.19731188887647
20120118,159.6597334857586
20120119,157.96952827843776
20120120,159.99171264697836
20120121,159.99171264697836
20120122,159.99171264697836
20120123,159.99171264697836
20120124,159.99171264697836
20120125,159.99171264697836
20120126,159.99171264697836
20120127,159.99171264697836
20120128,159.99171264697836
20120129,159.99171264697836
20120130,162.9722176327383
20120131,107.05910970655678
20120201,106.87855414485435
20120202,106.39066412175953
20120203,105.01534019267548
20120204,105.01534019267548
20120205,105.01534019267548
20120206,104.86572650197623
20120207,107.2111313871226
20120208,101.43159208655949
20120209,102.06409290165088
20120210,99.7193553858786
20120211,99.7193553858786
20120212,99.7193553858786
20120213,100.24748266631337
20120214,97.28000612199978
20120215,97.03397202779728
20120216,97.53295192411692
20120217,96.41170814960442
20120218,96.41170814960442
20120219,96.41170814960442
20120220,96.05356871102566
20120221,92.45771600517541
20120222,91.56049101317812
20120223,93.25108186058327
20120224,86.54515694656064
20120225,86.54515694656064
20120226,86.54515694656064
20120227,87.65485096406931
20120228,90.35400976796683
20120229,98.78214554608888
20120301,97.08789835677274
20120302,94.02439818518283
20120303,94.02439818518283
20120304,94.02439818518283
20120305,95.27046887830193
20120306,92.77610846141654
20120307,94.82667805133826
20120308,94.42774467392124
20120309,93.48281421567023
20120310,93.48281421567023
20120311,93.48281421567023
20120312,92.89017202228705
20120313,92.51272419194989
20120314,100.39670126739843
20120315,101.88943163927209
20120316,99.76513876267059
20120317,99.76513876267059
20120318,99.76513876267059
20120319,99.26177616751082
20120320,98.88768067109619
20120321,99.99279527843781
20120322,98.92025268931911
20120323,102.88009764314921
20120324,102.88009764314921
20120325,102.88009764314921
20120326,102.47694858674829
20120327,102.41198972264922
20120328,92.2960381396917
20120329,93.80661717000872
20120330,113.98481541892143
20120331,113.98481541892143
20120401,113.71632412651857
20120402,113.71632412651857
20120403,113.71632412651857
20120404,113.71632412651857
20120405,110.32177034676566
20120406,108.90392939591825
20120407,108.90392939591825
20120408,108.90392939591825
20120409,110.05365591369498
20120410,109.40758509986138
20120411,106.3095995386246
20120412,103.65953086754854
20120413,102.64447976460029
20120414,102.64447976460029
20120415,102.64447976460029
20120416,99.81905461360383
20120417,103.00488866364387
20120418,98.88926829501334
20120419,101.50160449210117
20120420,97.7575934013172
20120421,97.7575934013172
20120422,97.7575934013172
20120423,128.4494363809033
20120424,125.15464523591216
20120425,121.30836647676276
20120426,125.95572536806104
20120427,132.4949120542449
20120428,132.4949120542449
20120429,132.4949120542449
20120430,132.4949120542449
20120501,132.19607899254524
20120502,131.8998051245963
20120503,134.76147487801842
20120504,134.01510860171706
20120505,134.01510860171706
20120506,134.01510860171706
20120507,134.67261068915977
20120508,135.002290096095
20120509,138.25424281744856
20120510,137.64495133495782
20120511,139.87192231784667
20120512,139.87192231784667
20120513,139.87192231784667
20120514,139.49120360110925
20120515,139.82654959680576
20120516,142.11629867327457
20120517,140.03175380615292
20120518,141.7633674046777
20120519,141.7633674046777
20120520,141.7633674046777
20120521,142.70184836235708
20120522,139.15529591671162
20120523,140.27107575138447
20120524,140.4927337390211
20120525,143.8049636213302
20120526,143.8049636213302
20120527,143.8049636213302
20120528,142.44959800640515
20120529,141.81553405599536
20120530,140.34774955232115
20120531,134.80720856229428
20120601,134.1431292467036
20120602,134.1431292467036
20120603,134.1431292467036
20120604,140.70549704437022
20120605,140.4208757856405
20120606,139.69411939298314
20120607,139.1686884694393
20120608,145.90136207880423
20120609,145.90136207880423
20120610,145.90136207880423
20120611,143.17578430846453
20120612,142.55567732938422
20120613,140.5390683169112
20120614,141.90832642412366
20120615,144.92553749543526
20120616,144.92553749543526
20120617,144.92553749543526
20120618,145.1342214704238
20120619,145.63950260662105
20120620,144.99234997694708
20120621,145.6224488120738
20120622,145.6224488120738
20120623,145.6224488120738
20120624,145.6224488120738
20120625,149.5119129471684
20120626,148.68757802024228
20120627,150.87532003546625
20120628,150.54408046461648
20120629,149.60021419308805
20120630,149.60021419308805
20120701,149.288384884249
20120702,148.50085480062785
20120703,147.8053166407655
20120704,148.23319321255127
20120705,150.37241806858822
20120706,150.0358952953428
20120707,150.0358952953428
20120708,150.0358952953428
20120709,152.68344995186607
20120710,153.76183458131158
20120711,154.2269678026212
20120712,153.20746299707437
20120713,153.8017400806129
20120714,153.8017400806129
20120715,153.8017400806129
20120716,155.99631004821532
20120717,156.18996989597812
20120718,157.17251126583645
20120719,154.97341009209853
20120720,155.47534983113732
20120721,155.47534983113732
20120722,155.47534983113732
20120723,157.68413127178204
20120724,157.79677768505803
20120725,159.93030532152633
20120726,159.44757592532847
20120727,160.01082490125245
20120728,160.01082490125245
20120729,160.01082490125245
20120730,161.03319040695516
20120731,160.54054516780093
20120801,159.28223778574272
20120802,165.11369672841184
20120803,164.4630703883293
20120804,164.4630703883293
20120805,164.4630703883293
20120806,162.48654237345093
20120807,162.06187347403974
20120808,163.03918997615443
20120809,160.44675313672263
20120810,162.19530901964626
20120811,162.19530901964626
20120812,162.19530901964626
20120813,163.96358302516205
20120814,164.10572205053546
20120815,162.64523377286886
20120816,166.40501844575473
20120817,166.09792248865864
20120818,166.09792248865864
20120819,166.09792248865864
20120820,167.78249837629883
20120821,167.54651306776105
20120822,167.59002821706116
20120823,166.52133665010115
20120824,167.6965492935937
20120825,167.6965492935937
20120826,167.6965492935937
20120827,167.49558730188147
20120828,168.850701789491
20120829,171.00559656900026
20120830,171.5248550460382
20120831,170.7460853101795
20120901,170.41871409438988
20120902,170.41871409438988
20120903,168.71730383382618
20120904,170.94823867727308
20120905,171.11208933032515
20120906,169.97099693509614
20120907,164.8835015120706
20120908,164.8835015120706
20120909,164.8835015120706
20120910,166.19123354784642
20120911,167.43596534842993
20120912,166.65943508831032
20120913,168.67640313887114
20120914,167.09196767738064
20120915,167.09196767738064
20120916,167.09196767738064
20120917,173.22413521974278
20120918,172.40766505282772
20120919,173.25817059146743
20120920,174.7533939678453
20120921,176.37194244140207
20120922,176.37194244140207
20120923,176.37194244140207
20120924,177.74871316572066
20120925,178.82088999684336
20120926,179.4912522635836
20120927,177.92130773542198
20120928,174.36083011649183
20120929,174.36083011649183
20120930,174.36083011649183
20121001,174.03950822634135
20121002,174.03950822634135
20121003,174.03950822634135
20121004,174.03950822634135
20121005,174.03950822634135
20121006,174.03950822634135
20121007,174.03950822634135
20121008,177.1840177428177
20121009,174.37989241016263
20121010,172.6078267694824
20121011,174.38117226402767
20121012,172.01980658448448
20121013,172.01980658448448
20121014,172.01980658448448
20121015,173.04472419272722
