Date,Tianjin Songjiang Co Ltd
20170808,286.90826109296836
20170809,282.05773343300626
20170810,288.13031483505216
20170811,290.67524816501924
20170812,290.67524816501924
20170813,290.67524816501924
20170814,283.59877049680074
20170815,274.1178160409408
20170816,274.34503565377145
20170817,274.9219894477523
20170818,276.02043081454315
20170819,276.02043081454315
20170820,276.02043081454315
20170821,272.59840953673665
20170822,275.3428710987969
20170823,272.65433765806415
20170824,267.94710572610563
20170825,266.30421355168187
20170826,266.30421355168187
20170827,266.30421355168187
20170828,266.6955143908059
20170829,270.84578437678226
20170830,269.1344404831449
20170831,250.94880630181171
20170901,251.9760675892948
20170902,251.9760675892948
20170903,251.9760675892948
20170904,253.5259615112797
20170905,253.04535335120406
20170906,249.77233629196334
20170907,249.66729242409366
20170908,250.44215181537672
20170909,250.44215181537672
20170910,250.44215181537672
20170911,251.0537594132464
20170912,253.98549661270005
20170913,252.13315448921503
20170914,253.27396892428766
20170915,248.63878631197863
20170916,248.63878631197863
20170917,248.63878631197863
20170918,244.7112855210142
20170919,244.0659873557539
20170920,241.5790700635472
20170921,245.66505580394912
20170922,244.07365741683114
20170923,244.07365741683114
20170924,244.07365741683114
20170925,246.87353227783987
20170926,247.83302265377827
20170927,243.6410781851066
20170928,243.72162402862057
20170929,240.18543458017155
20170930,240.18543458017155
20171001,240.12837476954016
20171002,240.12837476954016
20171003,240.12837476954016
20171004,240.12837476954016
20171005,240.12837476954016
20171006,240.12837476954016
20171007,240.12837476954016
20171008,240.12837476954016
20171009,236.8536710373324
20171010,232.36713783105958
20171011,232.04618199337543
20171012,231.33397908764837
20171013,230.92716713454553
20171014,230.92716713454553
20171015,230.92716713454553
20171016,229.8005447618281
20171017,225.2568179680719
20171018,226.46455167539773
20171019,231.9287348593056
20171020,239.48258551930437
20171021,239.48258551930437
20171022,239.48258551930437
20171023,239.57043296451172
20171024,242.3151383407756
20171025,240.56817924002064
20171026,240.71257370080536
20171027,240.51668485287286
20171028,240.51668485287286
20171029,240.51668485287286
20171030,252.76553376785634
20171031,255.2652149517866
20171101,250.50681537510124
20171102,257.1199627697607
20171103,252.8566149124235
20171104,252.8566149124235
20171105,252.8566149124235
20171106,252.63880723865873
20171107,251.6384577718501
20171108,248.98581252903602
20171109,248.34061591710898
20171110,248.91999864553756
20171111,248.91999864553756
20171112,248.91999864553756
20171113,250.00235181976484
20171114,251.84356195539397
20171115,253.79833690735592
20171116,251.75973874595712
20171117,261.95366826747335
20171118,261.95366826747335
20171119,261.95366826747335
20171120,266.42486103317776
20171121,264.71027813701164
20171122,263.3333877292574
20171123,265.9860106718915
20171124,261.7511101301507
20171125,261.7511101301507
20171126,261.7511101301507
20171127,259.1123163445557
20171128,256.12094314630247
20171129,257.58596034395316
20171130,253.3737670080353
20171201,251.3129698563236
20171202,251.3129698563236
20171203,251.3129698563236
20171204,251.07794582740658
20171205,261.2049485952677
20171206,257.2372681794567
20171207,253.72369767286446
20171208,252.5916300393967
20171209,252.5916300393967
20171210,252.5916300393967
20171211,250.47577848016408
20171212,251.39482835977256
20171213,249.33658419846464
20171214,249.4829167323338
20171215,249.75899037073194
20171216,249.75899037073194
20171217,249.75899037073194
20171218,251.5765319470109
20171219,251.12860787534632
20171220,251.6804441434006
20171221,251.3421157330362
20171222,250.94731329715052
20171223,250.94731329715052
20171224,250.94731329715052
20171225,251.88260407906716
20171226,250.8533927649919
20171227,252.46120923032856
20171228,254.4550379527801
20171229,244.3475298967478
20171230,244.3475298967478
20171231,244.3475298967478
20180101,244.2938318284246
20180102,242.54831387453896
20180103,241.1492061980195
20180104,241.72411588588855
20180105,240.42581582093155
20180106,240.42581582093155
20180107,240.42581582093155
20180108,239.5272057526546
20180109,241.65140823619492
20180110,243.80152477541665
20180111,245.303516434006
20180112,245.00086730224314
20180113,245.00086730224314
20180114,245.00086730224314
20180115,245.81563822754126
20180116,243.35566584357002
20180117,244.79830786876417
20180118,245.6649002315869
20180119,246.02285781656036
20180120,246.02285781656036
20180121,246.02285781656036
20180122,248.67927954023762
20180123,247.07358048077276
20180124,247.00993459924314
20180125,244.27694486201838
20180126,246.18039723535136
20180127,246.18039723535136
20180128,246.18039723535136
20180129,247.77255509158508
20180130,250.7237076768102
20180131,260.05275967887263
20180201,273.4694768173358
20180202,286.0980417161911
20180203,286.0980417161911
20180204,286.0980417161911
20180205,286.3901288020004
20180206,298.0744335719054
20180207,311.54416925415995
20180208,302.703093039643
20180209,308.86690561724663
20180210,308.86690561724663
20180211,308.86690561724663
20180212,297.10455571245376
20180213,295.6033519739452
20180214,293.31904177638916
20180215,293.31904177638916
20180216,293.31904177638916
20180217,293.31904177638916
20180218,293.31904177638916
20180219,293.31904177638916
20180220,293.31904177638916
20180221,293.31904177638916
20180222,291.84235174829666
20180223,295.3885450181782
20180224,295.3885450181782
20180225,295.3885450181782
20180226,289.16677675656933
20180227,285.8157402307937
20180228,283.19508350088853
20180301,275.1086576402288
20180302,274.13147532424296
20180303,274.13147532424296
20180304,274.13147532424296
20180305,273.4630580654255
20180306,271.79233340436275
20180307,267.07481508757706
20180308,265.34318774967534
20180309,259.98254245366286
20180310,259.98254245366286
20180311,259.98254245366286
20180312,262.6598784685845
20180313,263.4913121388265
20180314,260.8855447737366
20180315,258.6832964800851
20180316,269.62199802854167
20180317,269.62199802854167
20180318,269.62199802854167
20180319,275.0084909171505
20180320,278.3481137471387
20180321,278.302703481787
20180322,276.62093223629483
20180323,288.89100071005004
20180324,288.89100071005004
20180325,288.89100071005004
20180326,295.4323259858858
20180327,285.6668237054765
20180328,280.3973662168991
20180329,279.2497043482701
20180330,269.77989505761553
20180331,269.77989505761553
20180401,269.726060758043
20180402,269.21873892845144
20180403,274.7381039118613
20180404,271.92202100753724
20180405,271.92202100753724
20180406,271.92202100753724
20180407,271.92202100753724
20180408,271.92202100753724
20180409,266.855341121911
20180410,258.26784516019495
20180411,259.3799446500536
20180412,258.28182937875897
20180413,256.3922231249915
20180414,256.3922231249915
20180415,256.3922231249915
20180416,257.8481043627154
20180417,260.4628102885127
20180418,263.4579752558227
20180419,260.6950323257608
20180420,263.98712962406887
20180421,263.98712962406887
20180422,263.98712962406887
20180423,266.6348010074323
20180424,299.2122872554613
20180425,308.54764224517936
20180426,307.2371822981138
20180427,307.2038193303606
20180428,307.2038193303606
20180429,307.2038193303606
20180430,307.2038193303606
20180501,307.1446800394741
20180502,307.57454882102115
20180503,315.199013726003
20180504,315.3657912172711
20180505,315.3657912172711
20180506,315.3657912172711
20180507,312.8487057893586
20180508,315.8953006251888
20180509,324.55863983371273
20180510,321.0776588635514
20180511,324.47382167481976
20180512,324.47382167481976
20180513,324.47382167481976
20180514,333.41383576264485
20180515,329.35725808496767
20180516,327.0950462515196
20180517,324.4917455438314
