Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20140924,95.31162126179386
20140925,97.64240748152366
20140926,97.20019760565329
20140927,97.20019760565329
20140928,97.20019760565329
20140929,93.71960008149144
20140930,90.72266805391395
20141001,90.64735765590682
20141002,90.64735765590682
20141003,90.64735765590682
20141004,90.64735765590682
20141005,90.64735765590682
20141006,90.64735765590682
20141007,90.64735765590682
20141008,90.86539365609629
20141009,92.88051951407093
20141010,92.03185154964794
20141011,92.03185154964794
20141012,92.03185154964794
20141013,93.20512698408903
20141014,92.81857143386935
20141015,94.45436572450822
20141016,97.73155042233755
20141017,98.40645789690433
20141018,98.40645789690433
20141019,98.40645789690433
20141020,97.033452726952
20141021,98.01072034545979
20141022,100.6635490807238
20141023,105.02345915646039
20141024,104.83954152389659
20141025,104.83954152389659
20141026,104.83954152389659
20141027,104.0440270308219
20141028,100.36861590767646
20141029,97.57123856767527
20141030,96.98937551871767
20141031,98.77921011261206
20141101,98.70003039217428
20141102,98.70003039217428
20141103,98.69473122051187
20141104,98.74139638548307
20141105,98.42948415873425
20141106,98.78831144482153
20141107,98.8565643869861
20141108,98.8565643869861
20141109,98.8565643869861
20141110,99.9295729942288
20141111,99.86976092601749
20141112,99.94773303219756
20141113,100.4573558751251
20141114,100.1819651445274
20141115,100.1819651445274
20141116,100.1819651445274
20141117,99.58075120046615
20141118,98.50777883514327
20141119,98.51571208508491
20141120,98.36963170841885
20141121,98.82756407887264
20141122,98.82756407887264
20141123,98.82756407887264
20141124,102.87035054149204
20141125,103.518048816836
20141126,104.07421777656845
20141127,104.15823139968143
20141128,104.58025217929993
20141129,104.58025217929993
20141130,104.58025217929993
20141201,104.43672510295058
20141202,105.8096378684988
20141203,105.78712443046025
20141204,106.90984426043536
20141205,107.51263955109542
20141206,107.51263955109542
20141207,107.51263955109542
20141208,108.77518932527421
20141209,106.42934986739279
20141210,107.57961298982534
20141211,108.0058577325661
20141212,108.2243857292744
20141213,108.2243857292744
20141214,108.2243857292744
20141215,108.52749273068213
20141216,110.23685989850959
20141217,111.01164175303451
20141218,111.04373830680346
20141219,112.24024740359242
20141220,112.24024740359242
20141221,112.24024740359242
20141222,113.37815983205068
20141223,111.95550609988335
20141224,111.02020127513929
20141225,112.23845528710926
20141226,114.27784144020436
20141227,114.27784144020436
20141228,114.27784144020436
20141229,113.7339176974244
20141230,113.86799310147154
20141231,114.5054790788619
20150101,114.4195630298901
20150102,114.4195630298901
20150103,114.4195630298901
20150104,114.4195630298901
20150105,116.91367059200934
20150106,118.00297741762694
20150107,118.3494751886559
20150108,116.68076638527853
20150109,116.8130976866952
20150110,116.8130976866952
20150111,116.8130976866952
20150112,116.21159727806636
20150113,116.52998667272097
20150114,115.89435532075903
20150115,117.83145339348833
20150116,118.49546360297887
20150117,118.49546360297887
20150118,118.49546360297887
20150119,114.70832332512812
20150120,116.03454385333343
20150121,118.05086047353866
20150122,117.18524071337018
20150123,117.59815453199508
20150124,117.59815453199508
20150125,117.59815453199508
20150126,117.69143332418119
20150127,117.88620636482172
20150128,117.00964535491329
20150129,116.03456152964156
20150130,115.64896190018058
20150131,115.64896190018058
20150201,115.56494594406975
20150202,114.17224142713964
20150203,115.34580847338417
20150204,114.84579715729137
20150205,114.22320519607763
20150206,113.27998893927958
20150207,113.27998893927958
20150208,113.27998893927958
20150209,113.56538119543974
20150210,113.43199446788219
20150211,113.29309929698975
20150212,113.41762976179152
20150213,114.06031761894553
20150214,114.06031761894553
20150215,114.06031761894553
20150216,113.84305194799451
20150217,113.8371425782166
20150218,113.8371425782166
20150219,113.8371425782166
20150220,113.8371425782166
20150221,113.8371425782166
20150222,113.8371425782166
20150223,113.8371425782166
20150224,113.8371425782166
20150225,116.03704624608385
20150226,116.98481587597715
20150227,117.04897537846246
20150228,117.04897537846246
20150301,116.96665353167887
20150302,120.86081756612818
20150303,119.33249987271601
20150304,119.66202529783695
20150305,119.65345521382774
20150306,119.39940008583625
20150307,119.39940008583625
20150308,119.39940008583625
20150309,120.35939588402394
20150310,121.79510787581025
20150311,121.85133050663124
20150312,122.93110052407224
20150313,122.75633491664416
20150314,122.75633491664416
20150315,122.75633491664416
20150316,124.34314005187643
20150317,124.84372669190056
20150318,126.11847215938697
20150319,126.31578955301863
20150320,127.829858277059
20150321,127.829858277059
20150322,127.829858277059
20150323,127.16809213772429
20150324,126.84311868066526
20150325,126.10515011403979
20150326,126.61617696900593
20150327,127.32427531147772
20150328,127.32427531147772
20150329,127.32427531147772
20150330,129.0234648859972
20150331,128.8222820817696
20150401,129.38356403279738
20150402,129.2197993491957
20150403,130.42037893718793
20150404,130.42037893718793
20150405,130.42037893718793
20150406,130.42037893718793
20150407,130.3316869291187
20150408,129.8501382515736
20150409,128.96294755405785
20150410,129.35558651930708
20150411,129.35558651930708
20150412,129.35558651930708
20150413,130.6531505703703
20150414,131.05404834793143
20150415,131.19175542871645
20150416,132.97223343336168
20150417,134.85726480055436
20150418,134.85726480055436
20150419,134.85726480055436
20150420,133.36420544935064
20150421,136.13284139873272
20150422,137.81181415335362
20150423,138.2828926420353
