Date,Ecobank Transnational Inc
20110704,152.4805776815231
20110705,154.32326572537994
20110706,149.54417810112454
20110707,151.2068521329539
20110708,141.0525781977097
20110709,141.0525781977097
20110710,141.0525781977097
20110711,141.06924333742998
20110712,149.37479335488263
20110713,161.78249707432744
20110714,163.54672095034846
20110715,159.90942018561805
20110716,159.90942018561805
20110717,159.90942018561805
20110718,158.4554175235334
20110719,166.8001616483212
20110720,156.42036412411258
20110721,156.8140223832288
20110722,153.74617658460258
20110723,153.74617658460258
20110724,153.74617658460258
20110725,100.72033585841538
20110726,105.49180210129566
20110727,107.06686787790836
20110728,106.67698501001162
20110729,119.25990211876893
20110730,119.25990211876893
20110731,119.25990211876893
20110801,122.72708679702805
20110802,125.15617309403557
20110803,134.03552639891976
20110804,124.80842772970378
20110805,139.36273416571177
20110806,139.36273416571177
20110807,139.36273416571177
20110808,132.51310498873696
20110809,146.85565535677836
20110810,155.6202229263461
20110811,145.9338060418315
20110812,141.62105287089193
20110813,141.62105287089193
20110814,141.62105287089193
20110815,136.2640256765316
20110816,133.59037813407264
20110817,129.63176192831085
20110818,133.61276518549988
20110819,131.81013081714218
20110820,131.81013081714218
20110821,131.81013081714218
20110822,218.38688637663012
20110823,229.29218432592359
20110824,230.3281025287983
20110825,234.6651624250839
20110826,236.01793495391271
20110827,236.01793495391271
20110828,236.01793495391271
20110829,238.2857957151209
20110830,238.2857957151209
20110831,238.2857957151209
20110901,234.62891005771556
20110902,240.2902618547049
20110903,240.2902618547049
20110904,240.2902618547049
20110905,241.120669219263
20110906,234.41483337147406
20110907,243.41903780740776
20110908,242.60945860602467
20110909,254.8417751012293
20110910,254.8417751012293
20110911,254.8417751012293
20110912,257.18633330661345
20110913,253.12294474271468
20110914,251.30265727113806
20110915,258.29097871198996
20110916,256.7036078327327
20110917,256.7036078327327
20110918,256.7036078327327
20110919,266.62856827435166
20110920,265.4957582021547
20110921,263.3794484604479
20110922,264.63481042426594
20110923,266.3866358478411
