Date,DongfengSci-Tech Group Co Ltd
20030301,1333.4421716544061
20030302,1333.4421716544061
20030303,1347.3239146042947
20030304,1350.207055816401
20030305,1346.1832196812456
20030306,1343.1998816905054
20030307,1341.0470677768915
20030308,1341.0470677768915
20030309,1341.0470677768915
20030310,1357.437991193824
20030311,1333.516842143764
20030312,1343.7433874799437
20030313,1344.5350668416581
20030314,1336.1694875122134
20030315,1336.1694875122134
20030316,1336.1694875122134
20030317,1359.8890697693294
20030318,1362.3294610158296
20030319,1361.8738794563624
20030320,1362.9862858330232
20030321,1351.021971089645
20030322,1351.021971089645
20030323,1351.021971089645
20030324,1349.6887948149267
20030325,1363.6230243599746
20030326,1362.3710488767904
20030327,1334.950960242026
20030328,1323.8388610923394
20030329,1323.8388610923394
20030330,1323.8388610923394
20030331,1533.3804605327628
20030401,1521.273549731042
20030402,1519.0228143590373
20030403,1522.7169019188943
20030404,1458.2196807805785
20030405,1458.2196807805785
20030406,1458.2196807805785
20030407,1481.3279767370168
20030408,1496.2841953084094
20030409,1388.0200990916312
20030410,1350.2243655160473
20030411,1330.09573236155
20030412,1330.09573236155
20030413,1330.09573236155
20030414,1312.9971270756246
20030415,1274.2257508812063
20030416,1297.5211543756627
20030417,1278.9365851916173
20030418,1309.8400379308825
20030419,1309.8400379308825
20030420,1309.8400379308825
20030421,1317.3565519451158
20030422,1054.058241547739
20030423,1064.8191050044227
20030424,1085.60466066603
20030425,1096.8385707197224
20030426,1096.8385707197224
20030427,1096.8385707197224
20030428,1063.0689401952152
20030429,1090.5716457841565
20030430,1005.3620299792376
20030501,998.3074762683707
20030502,998.3074762683707
20030503,998.3074762683707
20030504,998.3074762683707
20030505,998.3074762683707
20030506,998.3074762683707
20030507,998.3074762683707
20030508,998.3074762683707
20030509,998.3074762683707
20030510,998.3074762683707
20030511,998.3074762683707
20030512,998.0524567453082
20030513,1028.6989598480711
20030514,1016.487098583247
20030515,974.2916630148056
20030516,977.6313007845357
20030517,977.6313007845357
20030518,977.6313007845357
20030519,980.0946514502115
20030520,993.8980281084031
20030521,989.1855171899485
20030522,996.6327906147988
20030523,979.950624033806
20030524,979.950624033806
20030525,979.950624033806
20030526,980.6458267407339
20030527,985.1213180439717
20030528,979.2815562118765
20030529,981.6501854065219
20030530,978.5170028852724
20030531,978.5170028852724
20030601,971.3131020873382
20030602,975.8288313434739
20030603,992.6378251196297
20030604,988.8213389393395
20030605,1008.3529465365453
20030606,1022.8670689383265
20030607,1022.8670689383265
20030608,1022.8670689383265
20030609,1012.5891016857768
20030610,1009.1709040535459
20030611,994.6858177689235
20030612,992.2126764065398
20030613,985.0646969641942
20030614,985.0646969641942
20030615,985.0646969641942
20030616,994.1019526190614
20030617,1015.4850687454904
20030618,1011.1493862413289
20030619,1015.0140079523409
20030620,1011.166997791032
20030621,1011.166997791032
20030622,1011.166997791032
20030623,997.0591346759669
20030624,963.6083663171144
20030625,964.9122797243615
20030626,955.5816586137583
20030627,960.0034472157414
20030628,960.0034472157414
20030629,960.0034472157414
20030630,955.5869045546219
20030701,947.7296942279191
20030702,939.7568983866358
20030703,938.7410892692037
20030704,943.5643967042835
20030705,943.5643967042835
20030706,943.5643967042835
20030707,929.3856663020728
20030708,932.8623091664757
20030709,930.9501615717622
20030710,926.486340262946
20030711,919.7027639149072
20030712,919.7027639149072
20030713,919.7027639149072
20030714,889.2105075978168
20030715,856.2080549847674
20030716,859.729279462127
20030717,858.1247299319336
20030718,889.6745613374625
20030719,889.6745613374625
20030720,889.6745613374625
20030721,877.7251850392827
20030722,881.8927568202125
20030723,886.057793271508
20030724,896.2751921747623
20030725,897.3480368921898
20030726,897.3480368921898
20030727,897.3480368921898
20030728,894.3060644962391
20030729,896.9229477987335
20030730,897.6172143462062
20030731,884.5558320140651
20030801,854.6602857187345
20030802,854.6602857187345
20030803,854.6602857187345
20030804,839.8904003106072
20030805,835.6920921659068
20030806,839.9278441201069
20030807,842.8584374492395
20030808,860.7314357986511
20030809,860.7314357986511
20030810,860.7314357986511
20030811,861.5516162871847
20030812,861.8403358652827
20030813,849.2221189417518
20030814,844.192677805477
20030815,845.6456829352207
20030816,845.6456829352207
20030817,845.6456829352207
20030818,852.2851733599238
20030819,888.7325860636838
20030820,911.3724870069944
20030821,893.9331076844658
20030822,886.8608956964993
20030823,886.8608956964993
20030824,886.8608956964993
20030825,894.3365373767726
20030826,900.2038767390605
20030827,911.9927366453893
20030828,909.9536879006281
20030829,886.7143552413928
20030830,886.7143552413928
20030831,886.7143552413928
20030901,855.6908571737176
20030902,865.4328349711041
20030903,861.9602866473322
20030904,871.1195869724269
20030905,884.2315548479907
20030906,884.2315548479907
20030907,884.2315548479907
20030908,890.3627476913664
20030909,899.6597450013469
20030910,891.7079413971848
20030911,889.2063154385773
20030912,894.7775096353058
20030913,894.7775096353058
20030914,894.7775096353058
20030915,891.655757582378
20030916,883.6708075162059
20030917,882.6263832113451
20030918,876.3995868435472
20030919,861.6763291196484
20030920,861.6763291196484
20030921,861.6763291196484
20030922,866.9286275102414
20030923,862.611415738348
20030924,870.3824047662666
20030925,873.4168920634586
20030926,874.1572783048828
20030927,874.1572783048828
20030928,874.1572783048828
20030929,877.8112282697346
20030930,859.1199118671748
20031001,851.5838918441005
20031002,851.5838918441005
20031003,851.5838918441005
20031004,851.5838918441005
20031005,851.5838918441005
20031006,851.5838918441005
20031007,851.5838918441005
20031008,834.7429063032531
20031009,839.4505613285211
20031010,779.7331639728703
20031011,779.7331639728703
20031012,779.7331639728703
20031013,802.8061853298926
20031014,769.1007675280732
20031015,769.8932307900375
20031016,797.3306303922883
20031017,796.9097606291115
20031018,796.9097606291115
20031019,796.9097606291115
20031020,792.568357851972
20031021,763.4301956848437
20031022,726.8859522166251
20031023,741.3030949207897
20031024,750.5199038504318
20031025,750.5199038504318
20031026,750.5199038504318
20031027,748.5659476495726
20031028,745.3288116157477
20031029,739.4253370569396
20031030,722.2510859657485
20031031,691.1178215210223
20031101,684.7616801314367
20031102,684.7616801314367
20031103,649.9872688408823
20031104,685.0582873592219
20031105,681.7304231440448
20031106,629.8476622487458
20031107,636.9322315420957
20031108,636.9322315420957
20031109,636.9322315420957
20031110,666.0266397302875
20031111,662.0989786674189
20031112,673.2216129752247
20031113,684.2688786528208
20031114,706.9971271907486
20031115,706.9971271907486
20031116,706.9971271907486
20031117,700.2192131063698
20031118,740.8361737598035
20031119,728.3738373644795
20031120,693.2767491651002
20031121,716.6812985814772
20031122,716.6812985814772
20031123,716.6812985814772
20031124,708.6734953940002
20031125,719.8461581630421
20031126,730.4098448782312
20031127,740.2127180222861
20031128,730.935288018788
20031129,730.935288018788
20031130,730.935288018788
20031201,699.7026885366457
20031202,710.0515531839903
20031203,689.854164355345
20031204,690.0093487645784
