Date,Al Mal Investment Co KSC
20060306,2.1925313067910537
20060307,2.34477310403134
20060308,2.7206886414338705
20060309,2.7206886414338705
20060310,2.7206886414338705
20060313,3.3781958403163364
20060314,3.969350497655083
20060315,3.951451458112398
20060316,3.951451458112398
20060317,3.951451458112398
20060320,3.826184519981644
20060321,3.6180539894237893
20060322,3.5946155394923056
20060323,3.5946155394923056
20060324,3.5946155394923056
20060327,5.027232147931974
20060328,5.055539514228646
20060329,5.182930643405054
20060330,5.182930643405054
20060331,5.182930643405054
20060403,4.962479314303992
20060404,4.922387264182701
20060405,4.337831153244944
20060406,4.337831153244944
20060407,4.337831153244944
20060410,3.6615555262492117
20060411,3.642818785464149
20060412,3.4774154596375797
20060413,3.4774154596375797
20060414,3.4774154596375797
20060415,3.4774154596375797
20060417,4.068837992877342
20060418,4.417648762166834
20060419,4.4108613013053946
20060420,4.4108613013053946
20060421,4.4108613013053946
20060424,3.0450871409481337
20060425,2.9094305627522363
20060426,3.0089313262811226
20060427,3.0089313262811226
20060428,3.0089313262811226
20060501,3.5179338834347393
20060502,3.65429274475129
20060503,3.7193160703942483
20060504,3.7193160703942483
20060505,3.7193160703942483
20060508,4.296428187812249
20060509,4.095548788017355
20060510,4.42042713174323
20060511,4.42042713174323
20060512,4.42042713174323
20060515,4.381124690116078
20060516,4.403161416461702
20060517,4.4037441241918724
20060518,4.4037441241918724
20060519,4.4037441241918724
20060522,4.616909292819048
20060523,4.3135705137646445
20060524,3.9973079051547744
20060525,3.9973079051547744
20060526,3.9973079051547744
20060529,3.5340317514923036
20060530,3.6325298930268692
20060531,3.6292817175763146
20060601,3.6292817175763146
20060602,3.6292817175763146
20060605,3.005557880717008
20060606,3.0014361195207857
20060607,2.9810447593510347
20060608,2.9810447593510347
20060609,2.9810447593510347
20060612,2.8597753533983656
20060613,2.917712702918339
20060614,3.070280927624847
20060615,3.070280927624847
20060616,3.070280927624847
20060619,3.716608060151242
20060620,3.8268001472992266
20060621,4.128575790767153
20060622,4.128575790767153
20060623,4.128575790767153
20060626,4.125556021624681
20060627,4.270209556813626
20060628,3.8350200265802292
20060629,3.8350200265802292
20060630,3.8350200265802292
20060703,3.958343839663954
20060704,3.753139265422646
20060705,3.872397578579494
20060706,3.872397578579494
20060707,3.872397578579494
20060710,3.59851880352699
20060711,3.494146386813035
20060712,3.492668765201224
20060713,3.492668765201224
20060714,3.492668765201224
20060717,4.715085032553779
20060718,4.761099129039005
20060719,4.542487664338925
20060720,4.542487664338925
20060721,4.542487664338925
20060724,4.6799340249866574
20060725,4.920118277603229
20060726,8.093792692829526
20060727,8.093792692829526
20060728,8.093792692829526
20060731,8.571501579705657
20060801,8.887931961053567
20060802,8.91518183974046
20060803,8.91518183974046
20060804,8.91518183974046
20060807,8.433296357734474
20060808,8.089138122002765
20060809,8.298008376293827
20060810,8.298008376293827
20060811,8.298008376293827
20060814,7.992138866941727
20060815,8.255502903112326
20060816,8.415217264734833
20060817,8.415217264734833
20060818,8.415217264734833
20060821,8.460943817997109
20060822,8.473717898832106
20060823,8.487321253329284
20060824,8.487321253329284
20060825,8.487321253329284
20060828,8.697511657619263
20060829,8.787468805419511
20060830,9.17601394420583
20060831,9.17601394420583
20060901,9.17601394420583
20060902,9.17601394420583
20060904,8.96791506285976
20060905,8.372653497958746
20060906,8.385824383078768
20060907,8.385824383078768
20060908,8.385824383078768
20060909,8.385824383078768
20060911,7.8407378998022015
20060912,7.587646144601747
20060913,7.660618560809045
20060914,7.660618560809045
20060915,7.660618560809045
20060916,7.660618560809045
20060918,7.156046892129562
20060919,7.174220909929721
20060920,7.008166144051535
20060921,7.008166144051535
20060922,7.008166144051535
20060925,4.418384425488801
20060926,4.101430254301282
20060927,3.9395104217851937
20060928,3.9395104217851937
20060929,3.9395104217851937
20060930,3.9395104217851937
20061002,2.48614395742437
20061003,2.175434413044277
20061004,2.4626549038247223
20061005,2.4626549038247223
20061006,2.4626549038247223
20061007,2.4626549038247223
20061009,3.804647694212873
20061010,4.221683205121705
20061011,4.610111802818443
20061012,4.610111802818443
20061013,4.610111802818443
20061014,4.610111802818443
20061016,5.928451528090756
20061017,6.520444982836537
20061018,6.037315305956551
20061019,6.037315305956551
20061020,6.037315305956551
20061030,5.25722897490157
20061031,6.640308085978615
20061101,6.832167454161134
20061102,6.864773150519529
20061103,6.864773150519529
20061104,6.864773150519529
20061106,7.258398504333785
20061107,6.808084260309903
20061108,6.6011423932232605
20061109,6.6011423932232605
20061110,6.6011423932232605
20061111,6.6011423932232605
20061113,7.104665664848293
20061114,7.045317144124683
20061115,7.180429455441202
20061116,7.180429455441202
20061117,7.180429455441202
20061120,6.402449028661754
20061121,6.367635747006912
20061122,6.80359307670097
20061123,6.80359307670097
20061124,6.80359307670097
20061127,7.485606647785678
20061128,8.351152236339754
20061129,9.457455177260218
