Date,Aplus Financial Co Ltd
20131216,123.43431613885404
20131217,123.86708240862922
20131218,120.67075669024824
20131219,118.83015564388747
20131220,122.50152152623122
20131221,122.50152152623122
20131222,122.50152152623122
20131223,122.50152152623122
20131224,126.34917786500482
20131225,126.33216524347743
20131226,118.01006162850555
20131227,118.55269119292609
20131228,118.55269119292609
20131229,118.55269119292609
20131230,104.7284446025804
20131231,104.7284446025804
20140101,104.7284446025804
20140102,104.7284446025804
20140103,104.7284446025804
20140104,104.7284446025804
20140105,104.7284446025804
20140106,107.77497688977094
20140107,111.53036538325783
20140108,107.1104818753101
20140109,110.02057671403146
20140110,108.60977484334244
20140111,108.60977484334244
20140112,108.60977484334244
20140113,108.60977484334244
20140114,112.03667293190863
20140115,110.82730539879408
20140116,113.48270524254066
20140117,110.56645544512956
20140118,110.56645544512956
20140119,110.56645544512956
20140120,108.93291477203036
20140121,111.06165508210769
20140122,107.44939165038569
20140123,111.33111606797766
20140124,111.53160210342962
20140125,111.53160210342962
20140126,111.53160210342962
20140127,123.50773302355334
20140128,126.24402116619079
20140129,125.42023945432372
20140130,135.3048213283385
20140131,111.48552558944255
20140201,111.48552558944255
20140202,111.48552558944255
20140203,120.84110724900755
20140204,142.6997554271472
20140205,132.99997787947518
20140206,131.50128041959155
20140207,121.90734480354224
20140208,121.90734480354224
20140209,121.90734480354224
20140210,119.42445682516974
20140211,119.42445682516974
20140212,118.9604284841167
20140213,124.91480091627021
20140214,133.8120858204116
20140215,133.8120858204116
20140216,133.8120858204116
20140217,127.37489033473393
20140218,116.39631791377751
20140219,117.50634652410288
20140220,126.82928423927153
20140221,122.37075083920405
20140222,122.37075083920405
20140223,122.37075083920405
20140224,123.43259724967407
20140225,118.03451661044858
20140226,120.85023311120912
20140227,123.78591256721784
20140228,124.97590419723032
20140301,124.97590419723032
20140302,124.97590419723032
20140303,127.19865762078827
20140304,125.74424403044738
20140305,123.88631121034808
20140306,105.63804814147325
20140307,103.686566992338
20140308,103.686566992338
20140309,103.686566992338
20140310,105.57952639313028
20140311,105.5816826936634
20140312,111.0811301569489
20140313,112.21256544638403
20140314,121.50515829372802
20140315,121.50515829372802
20140316,121.50515829372802
20140317,130.5893644866355
20140318,123.26806466948813
20140319,122.24022396614657
20140320,127.28330459305194
20140321,127.28330459305194
20140322,127.28330459305194
20140323,127.28330459305194
20140324,122.30110469631153
20140325,126.45687055178087
20140326,125.0512462116131
20140327,126.0471858159841
20140328,118.96005093888868
20140329,118.96005093888868
20140330,118.96005093888868
20140331,110.09231086864602
20140401,109.2003811143035
20140402,99.57307278018213
20140403,100.91502390917242
20140404,96.50832007909354
20140405,96.50832007909354
20140406,96.50832007909354
20140407,102.18171530418302
20140408,101.04420869805163
20140409,105.23086731225854
20140410,104.88860896687967
20140411,107.26843886240499
20140412,107.26843886240499
20140413,107.26843886240499
20140414,106.46721660658869
20140415,108.35194658850338
20140416,97.15104220172842
20140417,98.36614816666015
20140418,97.95906842986372
20140419,97.95906842986372
20140420,97.95906842986372
20140421,81.7476226274945
20140422,89.63330239058544
20140423,87.39931886960339
20140424,88.62516255180277
20140425,80.78306594933356
20140426,80.78306594933356
20140427,80.78306594933356
20140428,81.58989987999927
20140429,81.58989987999927
20140430,87.82247696968058
20140501,81.04112876702935
20140502,78.9111244008436
20140503,78.9111244008436
20140504,78.9111244008436
20140505,78.9111244008436
20140506,78.9111244008436
20140507,85.99011818292234
20140508,70.66260875998924
20140509,66.62718995760298
20140510,66.62718995760298
20140511,66.62718995760298
20140512,69.35187786240776
20140513,66.76302157671977
20140514,66.78421696173335
20140515,68.74825980811084
20140516,73.14751049270427
20140517,73.14751049270427
20140518,73.14751049270427
20140519,78.0976908183188
20140520,76.66643171474348
20140521,73.39235104321217
20140522,69.66177252286654
20140523,69.91554391816172
20140524,69.91554391816172
20140525,69.91554391816172
20140526,66.63156416383916
20140527,67.03216228359459
20140528,68.55563508884602
20140529,68.55032973431592
20140530,55.342188763184296
20140531,55.342188763184296
20140601,55.342188763184296
20140602,52.54909079304093
20140603,50.622011931429036
20140604,47.14420575735496
20140605,45.69753269195808
20140606,44.61611132132028
20140607,44.61611132132028
20140608,44.61611132132028
20140609,43.595203176639714
20140610,47.11803186896897
20140611,45.407072408822245
20140612,44.155528898398615
20140613,43.283469347734936
20140614,43.283469347734936
20140615,43.283469347734936
20140616,44.871216366321875
20140617,45.62459530324477
20140618,44.32204742471815
20140619,43.033557962618396
20140620,42.34923746599179
20140621,42.34923746599179
20140622,42.34923746599179
20140623,41.010956752523384
20140624,41.72330340567472
20140625,42.79581274895025
20140626,41.939262315478885
20140627,36.370485573900154
20140628,36.370485573900154
20140629,36.370485573900154
20140630,23.540513934862247
20140701,25.504770430984706
20140702,23.24863223034613
20140703,23.063660150540706
20140704,22.424758598549957
20140705,22.424758598549957
20140706,22.424758598549957
20140707,23.121423830004982
20140708,23.49842773407112
20140709,25.272390747155338
20140710,27.25898855991921
20140711,27.767312672871363
20140712,27.767312672871363
20140713,27.767312672871363
20140714,26.467773061491375
20140715,25.50972623955078
20140716,26.472544614379842
20140717,26.3950421980768
20140718,27.274075296120323
20140719,27.274075296120323
20140720,27.274075296120323
20140721,27.274075296120323
20140722,26.76965156295311
20140723,28.146607706656372
20140724,28.401221815032173
20140725,27.997920285984836
