Date,Agat Ejendomme A/S
20090324,109.4547343197816
20090325,109.09565511448737
20090326,106.1918284522118
20090327,109.46390276305615
20090328,109.46390276305615
20090329,109.46390276305615
20090330,110.24576634469265
20090331,107.10287773029499
20090401,99.83886639306748
20090402,90.24178426083485
20090403,76.93068385355255
20090404,76.93068385355255
20090405,76.93068385355255
20090406,65.65429344135642
20090407,73.77439011850402
20090408,73.67949650406415
20090409,73.67949650406415
20090410,73.67949650406415
20090411,73.67949650406415
20090412,73.67949650406415
20090413,73.67949650406415
20090414,68.76479399661883
20090415,73.48789786596741
20090416,69.22202010739095
20090417,65.62699287560626
20090418,65.62699287560626
20090419,65.62699287560626
20090420,63.72219691696318
20090421,68.79443669111481
20090422,64.22023848605953
20090423,65.06768168536503
20090424,56.04978786997307
20090425,56.04978786997307
20090426,56.04978786997307
20090427,58.17393447454422
20090428,56.173032110393045
20090429,55.629521096055505
20090430,54.55579412545237
20090501,44.01478960905126
20090502,44.01478960905126
20090503,44.01478960905126
20090504,36.57278201742519
20090505,38.06487338436263
20090506,39.48434272065108
20090507,37.63410793423835
20090508,37.63410793423835
20090509,37.63410793423835
20090510,37.63410793423835
20090511,39.4875042626935
20090512,40.92678556348863
20090513,46.36345517959068
20090514,48.766841371638385
20090515,39.14677064403515
20090516,39.14677064403515
20090517,39.14677064403515
20090518,38.91193057555678
20090519,35.231321892296556
20090520,32.115651307947246
20090521,32.115651307947246
20090522,32.115651307947246
20090523,32.115651307947246
20090524,32.115651307947246
20090525,33.83725553474444
20090526,34.22283855124682
20090527,34.72010256802726
20090528,37.21795440433133
20090529,35.53502069812667
20090530,35.53502069812667
20090531,35.53502069812667
20090601,35.53502069812667
20090602,32.48867055857162
20090603,33.94085552862525
20090604,34.19516472112502
20090605,34.19516472112502
20090606,34.19516472112502
20090607,34.19516472112502
20090608,32.623967507918906
20090609,32.35849126176694
20090610,32.07125931443924
20090611,32.65451833287667
20090612,33.484747724459424
20090613,33.484747724459424
20090614,33.484747724459424
20090615,33.538359799040386
20090616,33.78149784364003
20090617,39.55918739967402
20090618,39.79234418470287
20090619,36.04408133508485
20090620,36.04408133508485
20090621,36.04408133508485
20090622,40.78318902583381
20090623,41.008442063164885
20090624,41.921835814372564
20090625,40.14356659474952
20090626,39.20779107359362
20090627,39.20779107359362
20090628,39.20779107359362
20090629,39.542635147835846
20090630,37.87178993110837
20090701,34.77909395335794
20090702,39.400061509086164
20090703,35.6114919084262
20090704,35.6114919084262
20090705,35.6114919084262
20090706,38.070663620616266
20090707,39.70720977322361
20090708,40.73423646588528
20090709,41.264070513244235
20090710,41.214213672076475
20090711,41.214213672076475
20090712,41.214213672076475
20090713,40.969018674257704
20090714,40.19953887288609
20090715,40.81600966990416
20090716,41.91620398933785
20090717,42.04556805320302
20090718,42.04556805320302
20090719,42.04556805320302
20090720,41.765206511627824
20090721,38.6553703337993
20090722,39.396594554811294
20090723,38.549066233839795
20090724,39.553763997055995
20090725,39.553763997055995
20090726,39.553763997055995
20090727,38.63868251846491
20090728,38.1710682276497
20090729,39.780787989789765
20090730,38.0606184263172
20090731,36.815064921661126
20090801,36.815064921661126
20090802,36.815064921661126
20090803,35.54977354646353
20090804,34.77571733872681
20090805,32.97793174283978
20090806,32.664366571505965
20090807,32.43024585262152
20090808,32.43024585262152
20090809,32.43024585262152
20090810,34.14763049100447
20090811,32.936569474060484
20090812,31.68643437072349
20090813,31.271517932291395
20090814,32.300469643659596
20090815,32.300469643659596
20090816,32.300469643659596
20090817,32.796862152278464
20090818,34.50804153562956
20090819,34.81461763943967
20090820,32.60844023536806
20090821,32.8128489467437
20090822,32.8128489467437
20090823,32.8128489467437
20090824,33.33027513127854
20090825,33.242049659081765
20090826,27.94322326447348
20090827,29.278656336521568
20090828,31.737539201886058
20090829,31.737539201886058
20090830,31.737539201886058
20090831,32.733575374059946
20090901,33.295101423569214
20090902,36.889129552044096
20090903,35.37118871840725
20090904,34.2971750488114
20090905,34.2971750488114
20090906,34.2971750488114
20090907,32.616564583941845
20090908,30.89543619974369
20090909,31.172373366267916
20090910,31.270234723629716
20090911,30.685502098466173
20090912,30.685502098466173
20090913,30.685502098466173
20090914,31.36122843430429
20090915,31.53758481141865
20090916,30.836325539955006
20090917,29.878816349691416
20090918,30.6810452420757
20090919,30.6810452420757
20090920,30.6810452420757
20090921,29.982244046720172
20090922,29.652308759286658
20090923,28.993662903091153
20090924,30.399669762513252
20090925,29.6095650896132
20090926,29.6095650896132
20090927,29.6095650896132
20090928,30.217505261006572
20090929,33.515679819769716
20090930,29.404096321163617
20091001,30.972975671434344
20091002,32.41878021345738
20091003,32.41878021345738
20091004,32.41878021345738
20091005,34.14605169480704
20091006,30.262486690919246
20091007,29.776886979186695
20091008,29.70323625758747
20091009,30.262715953349044
20091010,30.262715953349044
20091011,30.262715953349044
20091012,28.45744743471158
20091013,31.282863153198097
20091014,31.13296352098199
