Date,Gazit-Globe Ltd
20051006,4.85040433032272
20051007,4.85040433032272
20051008,4.85040433032272
20051010,4.255049757341159
20051011,4.058612642116254
20051012,4.058612642116254
20051013,4.058612642116254
20051014,4.058612642116254
20051015,4.058612642116254
20051019,4.344664538597347
20051020,4.144222634892628
20051021,4.144222634892628
20051022,4.144222634892628
20051026,3.8085600883685813
20051027,3.983096791889164
20051028,3.983096791889164
20051029,3.983096791889164
20051031,3.9932278277040885
20051101,4.1708564758695506
20051102,4.380847398137228
20051103,4.235723541112041
20051104,4.235723541112041
20051105,4.235723541112041
20051107,3.3625142391794833
20051108,3.4353035798102933
20051109,3.126958465494142
20051110,3.2252457173359996
20051111,3.2252457173359996
20051112,3.2252457173359996
20051114,3.5327801256073865
20051115,3.9257036385296065
20051116,3.9783815991610703
20051117,3.7776071535453806
20051118,3.7776071535453806
20051119,3.7776071535453806
20051121,3.9036360099421357
20051122,3.958828267704163
20051123,3.8729888478184176
20051124,3.8646236893610673
20051125,3.8646236893610673
20051126,3.8646236893610673
20051128,3.6385877372029123
20051129,3.5358125316037907
20051130,4.580098866221496
20051201,4.606668432999895
20051202,4.606668432999895
20051203,4.606668432999895
20051205,4.670909022163164
20051206,4.807787278058934
20051207,4.769630776769644
20051208,4.7955725278993855
20051209,4.7955725278993855
20051210,4.7955725278993855
20051212,4.190561113680074
20051213,4.037108952407547
20051214,4.073921077882922
20051215,4.032592878786156
20051216,4.032592878786156
20051217,4.032592878786156
20051219,4.351279441601228
20051220,4.021591141836894
20051221,3.7009214581459813
20051222,3.723240609609461
20051223,3.723240609609461
20051224,3.723240609609461
20051226,3.809876525965404
20051227,3.9000384424110135
20051228,4.081385399047449
20051229,4.331840001955172
20051230,4.331840001955172
20051231,4.331840001955172
20060102,3.549654035595047
20060103,3.420780528517258
20060104,3.3036098828311107
20060105,3.5346238575987643
20060106,3.5346238575987643
20060107,3.5346238575987643
20060109,3.6473610294327186
20060110,4.017655684422486
20060111,3.7472125551493862
20060112,3.5426833963658586
20060113,3.5426833963658586
20060114,3.5426833963658586
20060116,3.197036314622326
20060117,3.4342316757577342
20060118,3.5826776623534955
20060119,3.6143648468314202
20060120,3.6143648468314202
20060121,3.6143648468314202
20060123,3.446666681447076
20060124,3.2995650788317152
20060125,3.148421123953725
20060126,3.367318245883508
20060127,3.367318245883508
20060128,3.367318245883508
20060130,3.566223032327917
20060131,3.4552247160048064
20060201,3.3801457250232563
20060202,3.483799360983869
20060203,3.483799360983869
20060204,3.483799360983869
20060206,3.6984094558332568
20060207,4.013718313616683
20060208,3.926610527800391
20060209,3.5115949038899457
20060210,3.5115949038899457
20060211,3.5115949038899457
20060213,3.3795801942374193
20060214,3.7242537309555734
20060215,3.696778436078023
20060216,3.7939336901113565
20060217,3.7939336901113565
20060218,3.7939336901113565
20060220,4.071668769813069
20060221,3.7392940442087457
20060222,3.721391235814506
20060223,3.7825472158114906
20060224,3.7825472158114906
20060225,3.7825472158114906
20060227,3.481455210621355
20060228,3.4361154483718996
20060301,3.2743207622857247
20060302,3.270329726875742
20060303,3.270329726875742
20060304,3.270329726875742
20060306,3.2492372482556737
