Date,Kuwait Financial Centre SAK
20110326,3.889474675076845
20110328,3.8729371945927875
20110329,4.085888279430395
20110330,4.056913831458102
20110331,4.671354360379138
20110401,4.671354360379138
20110402,4.671354360379138
20110404,4.690502927489873
20110405,4.569195560731628
20110406,4.401452039048941
20110407,4.528205091615701
20110408,4.528205091615701
20110409,4.528205091615701
20110411,4.411609088804577
20110412,4.191818053407428
20110413,4.284283951175995
20110414,4.112900678976849
20110415,4.112900678976849
20110416,4.112900678976849
20110418,4.181679365580231
20110419,4.230361608745501
20110420,4.210493719732991
20110421,4.209891806856232
20110422,4.209891806856232
20110423,4.209891806856232
20110425,4.082297905747419
20110426,3.824494764069222
20110427,3.812207981337813
20110428,3.3939455583725326
20110429,3.3939455583725326
20110430,3.3939455583725326
20110502,3.365682075036225
20110503,3.4857947939754603
20110504,3.1501247056007764
20110505,3.354026383326396
20110506,3.354026383326396
20110507,3.354026383326396
20110509,3.486057389595084
20110510,3.503169565821567
20110511,3.445799370205931
20110512,3.3669958649292453
20110513,3.3669958649292453
20110514,3.3669958649292453
20110516,3.5580761070025484
20110517,3.3158264987878874
20110518,3.5005703612236663
20110519,3.531718186814614
20110520,3.531718186814614
20110521,3.531718186814614
20110523,3.56522135613939
20110524,3.712606264055168
20110525,3.835113772562035
20110526,3.723314557227334
20110527,3.723314557227334
20110528,3.723314557227334
20110530,3.879169177406901
20110531,3.9711609913448003
20110601,3.750570185057413
20110602,3.9012035372958236
20110603,3.9012035372958236
20110604,3.9012035372958236
20110606,4.065487179680226
20110607,4.050246459726947
20110608,4.040414728586184
20110609,3.984643311452382
20110610,3.984643311452382
20110611,3.984643311452382
20110613,4.024367429622205
20110614,3.9931254341614344
20110615,3.860759590879312
20110616,4.010532520353054
20110617,4.010532520353054
20110618,4.010532520353054
20110620,4.252351829945294
20110621,4.047163847713695
20110622,4.058234626161786
20110623,4.098589438922916
20110624,4.098589438922916
20110625,4.098589438922916
20110627,4.106401402132696
20110628,4.142820989096424
20110629,3.921622635262757
20110630,3.921622635262757
20110701,3.921622635262757
20110702,3.921622635262757
20110703,3.921622635262757
20110704,3.873690871361818
20110705,3.8726166433420124
20110706,3.9901206695418603
20110707,4.000391762032907
20110708,4.000391762032907
20110709,4.000391762032907
20110710,4.000391762032907
20110711,4.047453052982417
20110712,4.280050865628489
20110713,4.420960518488709
20110714,4.54948291780701
20110715,4.54948291780701
20110716,4.54948291780701
20110718,5.411593826933734
20110719,4.830744524314107
20110720,4.699976271461593
20110721,4.707784364091592
20110722,4.707784364091592
20110723,4.707784364091592
20110725,5.089570903770808
20110726,5.062966385789708
20110727,5.2143924407247555
20110728,5.437716105293862
20110729,5.437716105293862
20110730,5.437716105293862
20110802,5.605846820087684
20110803,5.668890674674486
20110804,5.625040826114307
20110805,5.625040826114307
20110806,5.625040826114307
20110808,6.382127954599449
20110809,6.620391333079566
20110810,6.620391333079566
20110811,5.467626677298582
20110812,5.467626677298582
20110813,5.467626677298582
20110815,5.581942006967198
20110816,5.611600022343511
20110817,5.624025044264173
20110818,5.604969189460713
20110819,5.604969189460713
20110820,5.604969189460713
20110822,5.439153012778244
20110823,5.444029101567681
20110824,5.463444908134612
20110825,5.459633378055399
20110826,5.459633378055399
20110827,5.459633378055399
20110829,5.853014264919292
20110830,5.853014264919292
20110831,5.853014264919292
20110901,5.853014264919292
20110902,5.853014264919292
20110903,5.853014264919292
20110905,5.367250580394542
20110906,5.425024155936164
20110907,5.02393806685247
20110908,5.02393806685247
20110909,5.02393806685247
20110910,5.02393806685247
20110911,5.02393806685247
