Date,Land & General Bhd
20091029,5.691981642528776
20091030,5.234286499615618
20091031,5.234286499615618
20091101,5.234286499615618
20091102,5.0099337812783515
20091103,5.154913991882303
20091104,4.785693666892876
20091105,4.600182679576932
20091106,4.6894116013627904
20091107,4.6894116013627904
20091108,4.6894116013627904
20091109,4.754216504540767
20091110,4.844271632231533
20091111,5.0435566745719695
20091112,5.118653719170338
20091113,5.186238855561914
20091114,5.186238855561914
20091115,5.186238855561914
20091116,5.1572681116791
20091117,5.013245142122723
20091118,5.1395952281856125
20091119,4.9538783028916
20091120,5.091957927093218
20091121,5.091957927093218
20091122,5.091957927093218
20091123,5.180294829429579
20091124,5.272359995254265
20091125,5.923611828234394
20091126,6.5645197231097825
20091127,6.5645197231097825
20091128,6.5645197231097825
20091129,6.5645197231097825
20091130,5.729467096852933
20091201,5.542635754489354
20091202,5.3552621669293154
20091203,5.440493017356318
20091204,5.329767759640845
20091205,5.329767759640845
20091206,5.329767759640845
20091207,5.075255035504678
20091208,5.271147702188137
20091209,5.347681570725493
20091210,5.0232246865893035
20091211,5.375226944890957
20091212,5.375226944890957
20091213,5.375226944890957
20091214,5.485794617094916
20091215,5.685976213047273
20091216,5.784441527808915
20091217,5.725161263377959
20091218,5.725161263377959
20091219,5.725161263377959
20091220,5.725161263377959
20091221,5.961185409150992
20091222,6.305606113166907
20091223,6.306303565211609
20091224,5.997118965678139
20091225,5.997118965678139
20091226,5.997118965678139
20091227,5.997118965678139
20091228,5.079476026728361
20091229,4.7133317173763825
20091230,4.945025243242594
20091231,5.608067226163478
20100101,5.608067226163478
20100102,5.608067226163478
20100103,5.608067226163478
20100104,4.7295061725730205
20100105,3.3255357780607415
20100106,2.1770914271709687
20100107,2.3642864522270437
20100108,2.146032180230914
20100109,2.146032180230914
20100110,2.146032180230914
20100111,1.8486171580123372
20100112,1.9276813701962225
20100113,1.8296494333678015
20100114,1.804844451965537
20100115,2.0171403274349147
20100116,2.0171403274349147
20100117,2.0171403274349147
20100118,2.011728233659282
20100119,2.101003613797325
20100120,2.2473471843101427
20100121,2.4845035173367345
20100122,2.384236960707026
20100123,2.384236960707026
20100124,2.384236960707026
20100125,2.2621232757413248
20100126,2.776951294047254
20100127,3.179242192922389
20100128,2.914172255416586
20100129,4.031688703110619
20100130,4.031688703110619
20100131,4.031688703110619
20100201,4.031688703110619
20100202,4.063366072093817
20100203,3.6616666013927808
20100204,3.8912080140757177
20100205,4.2138176101427085
20100206,4.2138176101427085
20100207,4.2138176101427085
20100208,4.66526850604985
20100209,4.368957009753495
20100210,4.552696279810215
20100211,4.687100833161439
20100212,4.465725790134272
20100213,4.465725790134272
20100214,4.465725790134272
20100215,4.465725790134272
20100216,4.465725790134272
20100217,4.404157535928206
20100218,4.6260775335759945
20100219,4.733084113441609
20100220,4.733084113441609
20100221,4.733084113441609
20100222,4.7704518496862365
20100223,4.835821568047762
20100224,5.097513753641467
20100225,5.466236299878736
20100226,5.466236299878736
20100227,5.466236299878736
20100228,5.466236299878736
20100301,5.524499230655138
20100302,5.699974033982934
20100303,5.716205812681234
20100304,5.997295741356472
20100305,5.3372181484002725
20100306,5.3372181484002725
20100307,5.3372181484002725
20100308,4.67591179211019
20100309,5.032719048638115
20100310,4.70640817523332
20100311,4.933137244528488
20100312,5.04889659441864
20100313,5.04889659441864
20100314,5.04889659441864
20100315,5.324331647521173
20100316,5.3378464571048045
20100317,5.252056693174527
20100318,5.208164216960299
20100319,5.285546024909673
20100320,5.285546024909673
20100321,5.285546024909673
20100322,5.188586600528346
20100323,4.908497306719933
20100324,4.681005544221834
20100325,4.574330597797653
20100326,4.2741348076061545
20100327,4.2741348076061545
20100328,4.2741348076061545
