Date,Goldman Sachs Group Inc/The
20050309,138.90885812924063
20050310,139.28707352643053
20050311,145.45020367607015
20050312,145.45020367607015
20050313,145.45020367607015
20050314,144.04910096639424
20050315,143.06301962888338
20050316,143.22587756391903
20050317,176.1432714880765
20050318,176.7882328476558
20050319,176.7882328476558
20050320,176.7882328476558
20050321,179.16260588526467
20050322,186.2586327105854
20050323,186.04601198021834
20050324,185.57694640440388
20050325,185.57694640440388
20050326,185.57694640440388
20050327,185.57694640440388
20050328,179.99523450962886
20050329,181.5713158477757
20050330,178.0136376326557
20050331,189.14773043997712
20050401,193.47676924606188
20050402,193.47676924606188
20050403,193.47676924606188
20050404,187.06389508932256
20050405,188.44500942294937
20050406,187.85550419694226
20050407,186.09843758267547
20050408,187.54673821133838
20050409,187.54673821133838
20050410,187.54673821133838
20050411,191.20678380588066
20050412,192.2386002048882
20050413,198.6882689791329
20050414,203.07948491902857
20050415,208.12504162935508
20050416,208.12504162935508
20050417,208.12504162935508
20050418,204.99187821240935
20050419,207.9168542883789
20050420,217.90125271391474
20050421,217.61567215689385
20050422,218.33422312695927
20050423,218.33422312695927
20050424,218.33422312695927
20050425,214.06135319362167
20050426,213.4544214651414
20050427,205.61659192289898
20050428,211.47265343105738
20050429,212.51421569680429
20050430,212.51421569680429
20050501,216.3296531243607
20050502,229.01389647438822
20050503,228.0485451605157
20050504,221.19173014389253
20050505,224.8331089518565
20050506,229.6164596604172
20050507,229.6164596604172
20050508,229.6164596604172
20050509,230.1949410585637
20050510,245.50871485513485
20050511,237.06670529355807
20050512,252.15817166688694
20050513,263.80853497845044
20050514,263.80853497845044
20050515,263.80853497845044
20050516,263.75480923470127
20050517,267.2593680278666
20050518,261.07905804037796
20050519,260.0846027644643
20050520,255.59465940408307
20050521,255.59465940408307
20050522,255.59465940408307
20050523,257.9699785956724
20050524,263.1865951268051
20050525,272.4801564795695
20050526,277.2273131589889
20050527,282.96663278083423
20050528,282.96663278083423
20050529,282.96663278083423
20050530,282.96663278083423
20050531,243.27407550534852
20050601,242.27291995680068
20050602,247.55503452258367
20050603,249.97474660230688
20050604,249.97474660230688
20050605,249.97474660230688
20050606,243.95715097199655
20050607,241.42578760352214
20050608,241.34554294733746
20050609,235.9388168104442
20050610,239.8193689096173
20050611,239.8193689096173
20050612,239.8193689096173
20050613,240.3825883819017
20050614,247.88948596158357
20050615,242.8736712856298
20050616,251.10230661606246
20050617,246.96737599487295
20050618,246.96737599487295
