Date,CRED Holding Co Ltd
20080905,183.54205002816434
20080906,183.54205002816434
20080907,183.54205002816434
20080908,191.61707452579194
20080909,201.63351630606238
20080910,210.1780905135966
20080911,220.69019574438312
20080912,226.0354421835984
20080913,226.0354421835984
20080914,226.0354421835984
20080915,226.0354421835984
20080916,228.44736862227828
20080917,217.18042808989136
20080918,225.04416115948533
20080919,216.42475502754897
20080920,216.42475502754897
20080921,216.42475502754897
20080922,211.64053825372036
20080923,220.08990585178353
20080924,222.68229188952884
20080925,218.50751879406272
20080926,213.26897951884683
20080927,213.26897951884683
20080928,213.26897951884683
20080929,213.26897951884683
20080930,213.26897951884683
20081001,211.4066424765711
20081002,211.4066424765711
20081003,211.4066424765711
20081004,211.4066424765711
20081005,211.4066424765711
20081006,221.09613556472098
20081007,225.89295074968655
20081008,226.1742490882801
20081009,229.8082130483798
20081010,238.91058965697763
20081011,238.91058965697763
20081012,238.91058965697763
20081013,242.71169787194887
20081014,242.9040880313292
20081015,246.12636796320734
20081016,251.72651282014493
20081017,248.8300896553844
20081018,248.8300896553844
20081019,248.8300896553844
20081020,240.99407303299833
20081021,244.1936035500873
20081022,245.81656844150416
20081023,242.35587482785897
20081024,244.86557931538098
20081025,244.86557931538098
20081026,244.86557931538098
20081027,268.82126124239113
20081028,275.57735263678416
20081029,286.0723383669601
20081030,294.2358234468841
20081031,289.43340183314274
20081101,287.09624954878825
20081102,287.09624954878825
20081103,300.70844043746337
20081104,313.0412968539745
20081105,307.90242524765824
20081106,312.5150715078441
20081107,308.0615360275992
20081108,308.0615360275992
20081109,308.0615360275992
20081110,296.5092741169433
20081111,295.6672221742963
20081112,285.9986472262533
20081113,274.42570367838766
20081114,260.9946828188811
20081115,260.9946828188811
20081116,260.9946828188811
20081117,250.2125084707981
20081118,260.6291462674198
20081119,250.36933735618248
20081120,245.6716369624674
20081121,245.2648204304594
20081122,245.2648204304594
20081123,245.2648204304594
20081124,256.7581654026663
20081125,261.7513204281645
20081126,262.9799314700599
20081127,283.0564815590223
20081128,291.3560849267065
20081129,291.3560849267065
20081130,291.3560849267065
20081201,286.89670506256306
20081202,285.1674644650394
20081203,274.84352653000275
20081204,266.56488489944803
20081205,253.7434799123599
20081206,253.7434799123599
20081207,253.7434799123599
20081208,242.86251127029468
20081209,231.13301007752042
20081210,220.0758606467062
20081211,209.05271938953706
20081212,218.6160339808651
20081213,218.6160339808651
20081214,218.6160339808651
20081215,226.69030076968116
20081216,216.08479683602692
20081217,206.67665151745086
20081218,197.31425642098327
20081219,187.70520513129912
20081220,187.70520513129912
20081221,187.70520513129912
20081222,177.47942575879318
20081223,191.39711852927985
20081224,191.3262706881982
20081225,182.04975116288264
20081226,172.7916560606432
20081227,172.7916560606432
20081228,172.7916560606432
20081229,172.8819075754165
20081230,163.5492065970741
20081231,172.83748996084654
20090101,171.5105821806107
20090102,171.5105821806107
20090103,171.5105821806107
20090104,171.5105821806107
20090105,174.19405790171461
20090106,166.69021391878758
20090107,166.10169663777728
20090108,169.87413344972697
20090109,171.7912199946686
20090110,171.7912199946686
20090111,171.7912199946686
20090112,172.71903402290872
20090113,177.32090842487526
20090114,176.6363367336713
20090115,179.23781308811195
20090116,177.14765350001178
20090117,177.14765350001178
20090118,177.14765350001178
20090119,175.94224276424242
20090120,167.66265139565675
20090121,165.69379608277228
20090122,172.33272836932716
20090123,174.46681801691514
20090124,174.46681801691514
20090125,174.46681801691514
20090126,174.46681801691514
20090127,174.46681801691514
20090128,174.46681801691514
20090129,174.46681801691514
20090130,174.46681801691514
20090131,174.46681801691514
20090201,173.16676571358215
20090202,171.30439317882522
20090203,169.24063767739847
20090204,165.31619158886667
20090205,157.79898968917738
20090206,155.75288506850265
20090207,155.75288506850265
20090208,155.75288506850265
20090209,155.99717180565213
20090210,157.10571195292695
20090211,159.47169036609998
20090212,158.4063307080177
20090213,151.96735290371785
20090214,151.96735290371785
20090215,151.96735290371785
20090216,144.85597586147506
20090217,151.51550378951345
20090218,157.541773093884
20090219,165.29756764895654
20090220,164.30818486989668
20090221,164.30818486989668
20090222,164.30818486989668
20090223,159.60131998038358
20090224,166.48609074763655
20090225,174.89059635322
20090226,174.75945613167573
20090227,182.9142055876146
20090228,182.9142055876146
20090301,181.59438674404217
20090302,181.3471444752371
20090303,178.09063244773728
20090304,171.6421718762255
20090305,173.62361966764627
20090306,172.96881978289537
20090307,172.96881978289537
20090308,172.96881978289537
20090309,179.60000243865818
20090310,177.2179908338007
20090311,178.2850868335235
20090312,174.87031696676584
20090313,167.2371082112948
20090314,167.2371082112948
20090315,167.2371082112948
20090316,159.33463975071422
20090317,153.45178887028788
20090318,147.01899838451584
20090319,141.20031812517354
20090320,142.81895888739456
20090321,142.81895888739456
20090322,142.81895888739456
20090323,147.63488736128573
20090324,145.68285251465898
20090325,150.24764853108363
20090326,149.4222475435684
20090327,152.31384014939889
20090328,152.31384014939889
20090329,152.31384014939889
20090330,143.52373374572838
20090331,138.36400658742843
20090401,132.39957304747344
20090402,126.17235099100606
20090403,131.90360757597372
20090404,131.90360757597372
20090405,131.90360757597372
20090406,131.90360757597372
20090407,131.3102713012936
20090408,126.6252014575953
20090409,127.7368861995698
20090410,125.30444263732024
20090411,125.30444263732024
20090412,125.30444263732024
20090413,126.19945695383547
20090414,126.95483790730296
20090415,125.77776438638
20090416,129.22587578356863
20090417,144.04978468820804
20090418,144.04978468820804
20090419,144.04978468820804
20090420,146.34403165350045
20090421,138.90200488264506
20090422,137.12013059091947
20090423,130.4775527233462
20090424,123.69498707428292
20090425,123.69498707428292
20090426,123.69498707428292
20090427,124.6924329649145
20090428,129.73242146213184
20090429,127.18172136392619
20090430,107.40922004078969
20090501,106.64971418606858
20090502,106.64971418606858
20090503,106.64971418606858
20090504,104.69084677753641
20090505,99.25935250260665
20090506,100.020344385054
20090507,102.53262519974524
20090508,99.08919153336043
20090509,99.08919153336043
20090510,99.08919153336043
20090511,103.82992338162605
20090512,101.49349939911312
20090513,103.64137848095135
20090514,102.5490667808109
20090515,100.99520898846905
20090516,100.99520898846905
20090517,100.99520898846905
20090518,101.90354825109046
20090519,100.84956448635272
20090520,97.08417281769621
20090521,96.2161785229433
20090522,101.08374112903695
20090523,101.08374112903695
20090524,101.08374112903695
20090525,104.84101102615742
20090526,103.64173487677024
20090527,104.54896016927457
20090528,104.54896016927457
20090529,104.54896016927457
20090530,104.54896016927457
20090531,104.54896016927457
20090601,102.71356022660243
20090602,103.04974034998435
20090603,102.12888705792014
20090604,97.67212688020363
20090605,92.97058128134714
20090606,92.97058128134714
20090607,92.97058128134714
20090608,93.30884936775308
20090609,93.50029156425619
20090610,95.53197298738696
20090611,95.72904681365861
20090612,95.83944276998261
20090613,95.83944276998261
20090614,95.83944276998261
20090615,97.10761193312767
20090616,96.8678506012183
20090617,97.97042539660103
20090618,97.05397180921851
